,Country,Basel_Convention,CITES,Convention_On_Biological_Diversity,Convention_On_Migratory_Species,Kyoto_Protocol,Montreal_Protocol,Paris_Agreement,Ramsar_Convention,Rotterdam_Convention,Stockholm_Convention,UN_Convention_on_the_Law_of_the_Sea,UN_Convention_to_Combat_Desertification,UN_Framework_Convention_on_Climate_Change,World_Heritage_Convention
73,Honduras,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
74,Hungary,Original Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
75,Iceland,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
76,India,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
77,Indonesia,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
78,Iran (Islamic Republic of),1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
79,Iraq,11+ year adopter,11+ year adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,11+ year adopter,11+ year adopter,11+ year adopter,Non-adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter
80,Ireland,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
81,Israel,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,6-10 year adopter,Non-adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
82,Italy,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
83,Jamaica,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
84,Japan,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
85,Jordan,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
86,Kazakhstan,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
87,Kenya,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
88,Kiribati,6-10 year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
89,Kuwait,1-5 Year Adopter,11+ year adopter,6-10 year adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
90,Kyrgyzstan,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
91,Lao People's Democratic Republic,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
92,Latvia,Original Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
93,Lebanon,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
94,Lesotho,6-10 year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
95,Liberia,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,Original Adopter,6-10 year adopter,Non-adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
96,Libya,6-10 year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,6-10 year adopter
97,Liechtenstein,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter
98,Lithuania,6-10 year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter
99,Luxembourg,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
100,Madagascar,6-10 year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
101,Malawi,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
102,Malaysia,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Non-adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
103,Maldives,Original Adopter,11+ year adopter,Original Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,Non-adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,6-10 year adopter,Original Adopter,11+ year adopter
104,Mali,6-10 year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
105,Malta,6-10 year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,11+ year adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
106,Marshall Islands,11+ year adopter,Non-adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter
107,Mauritania,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
108,Mauritius,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter
109,Mexico,Original Adopter,11+ year adopter,Original Adopter,Non-adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
110,Micronesia (Federated States of),1-5 Year Adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Original Adopter,Non-adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
111,Monaco,Original Adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,Original Adopter,6-10 year adopter
112,Mongolia,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,6-10 year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
113,Montenegro,11+ year adopter,11+ year adopter,11+ year adopter,11+ year adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,11+ year adopter,6-10 year adopter,6-10 year adopter,11+ year adopter,11+ year adopter,11+ year adopter,11+ year adopter
114,Morocco,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
115,Mozambique,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Non-adopter,11+ year adopter,6-10 year adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
116,Myanmar,11+ year adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
117,Namibia,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
118,Nauru,6-10 year adopter,Non-adopter,1-5 Year Adopter,Non-adopter,Original Adopter,11+ year adopter,Original Adopter,Non-adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter
119,Nepal,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
120,Netherlands,1-5 Year Adopter,6-10 year adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,11+ year adopter
121,New Zealand,1-5 Year Adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
122,Nicaragua,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter
123,Niger,6-10 year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
124,Nigeria,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
125,Norway,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter
126,Oman,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,Non-adopter,Original Adopter,6-10 year adopter,Non-adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
127,Pakistan,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter
128,Palau,11+ year adopter,11+ year adopter,6-10 year adopter,11+ year adopter,Original Adopter,11+ year adopter,Original Adopter,11+ year adopter,Non-adopter,6-10 year adopter,11+ year adopter,1-5 Year Adopter,6-10 year adopter,11+ year adopter
129,Panama,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,6-10 year adopter,Original Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
130,Papua New Guinea,1-5 Year Adopter,Original Adopter,Original Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Non-adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
131,Paraguay,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,Original Adopter,Original Adopter,1-5 Year Adopter,1-5 Year Adopter,1-5 Year Adopter,11+ year adopter
132,Peru,1-5 Year Adopter,Original Adopter,Original Adopter,11+ year adopter,Original Adopter,1-5 Year Adopter,Original Adopter,11+ year adopter,1-5 Year Adopter,1-5 Year Adopter,Non-adopter,Original Adopter,1-5 Year Adopter,6-10 year adopter
